*plausible-----------------a| apparently reasonable and valid  
*provisionally-------------r| temporarily and conditionally; "they have agreed provisionally"; "was appointed provisionally"  
*provisory-----------------s| subject to a proviso; "a provisory clause"  
*provocative---------------a| serving or tending to provoke, excite, or stimulate; stimulating discussion or exciting controversy; "a provocative remark"; "a provocative smile"; "provocative Irish tunes which...compel the hearers to dance"- Anthony Trollope  
*provocative---------------s| exciting sexual desire; "her gestures and postures became more wanton and provocative"  
*provocatively-------------r| in a provocative manner; "`Try it,' he said provocatively"  
*provoke-------------------v| call forth; "Her behavior provoked a quarrel between the couple"  
*provoke-------------------v| provide the needed stimulus for  
*prowl---------------------v| loiter about, with no apparent aim  
*prowl---------------------v| move about in or as if in a predatory manner; "The suspicious stranger prowls the streets of the town"  
*proximal------------------a| situated nearest to point of attachment or origin; "the proximal end of a bone"  
*proximate-----------------a| closest in degree or order (space or time) especially in a chain of causes and effects; "news of his proximate arrival"; "interest in proximate rather than ultimate goals"  
*proximate-----------------s| very close in space or time; "proximate words"; "proximate houses"  
*proximo-------------------s| in or of the next month after the present; "scheduled for the 6th prox"  
*prudent-------------------a| careful and sensible; marked by sound judgment; "a prudent manager"; "prudent rulers"; "prudent hesitation"; "more prudent to hide than to fight"  
*prudent-------------------s| showing wise self-restraint in speech and behavior especially in preserving prudent silence; "maintained a prudent silence"  
*prudential----------------s| arising from or characterized by prudence especially in business matters; "he abstained partly for prudential reasons"  
*prudently-----------------r| in a prudent manner; "I had allotted my own bedroom for necking, prudently removing both the bed and the key, and taken both myself and my typewriter into my son's bedroom."  
*prudishly-----------------r| in a prudish manner; "she acts prudishly, but I wonder whether she is really all that chaste"  
*pruned--------------------s| (of plants or trees) shaped by having superfluous branches or shoots trimmed back or cut off; "abundant fruit from properly pruned vines and fruit trees"  
*pruriently----------------r| in a prurient manner  
*Prussian------------------a| of or relating to or characteristic of Prussia or its inhabitants; "Prussian officers"; "Prussian aristocracy"  
*pry-----------------------v| be nosey; "Don't pry into my personal matters!"  
*pry-----------------------v| make an uninvited or presumptuous inquiry; "They pried the information out of him"  
*pry-----------------------v| search or inquire in a meddlesome way; "This guy is always nosing around the office"  
*pry-----------------------v| to move or force, especially in an effort to get something open; "The burglar jimmied the lock", "Raccoons managed to pry the lid off the garbage pail"  
*pryingly------------------r| in a curious and prying manner; "`Do you have a boyfriend,' she asked her prospective tenant pryingly"  
*psalm---------------------v| sing or celebrate in psalms; "He psalms the works of God"  
*pseudo--------------------s| (often used in combination) not genuine but having the appearance of; "a pseudo esthete"; "pseudoclassic"  
*pseudohermaphroditic------s| having internal reproductive organs of one sex and external sexual characteristics of the other sex  
*pseudonymous--------------s| bearing or identified by an assumed (often pen) name; "the writings of Mark Twain are pseudonymous"  
*pseudoscientific----------s| based on theories and methods erroneously regarded as scientific  
*psychedelic---------------s| having the vivid colors and bizarre patterns associated with psychedelic states; "a psychedelic painting"  
*psychedelic---------------s| of a mental state characterized by intense and distorted perceptions and hallucinations and feelings of euphoria or sometimes despair; "a psychedelic experience"  
*psychedelic---------------s| producing distorted sensory perceptions and feelings or altered states of awareness or sometimes states resembling psychosis; "psychedelic drugs like psilocybin and mescaline"  
*psychiatric---------------a| relating to or used in or engaged in the practice of psychiatry; "psychiatric disorder"; "psychiatric hospital"  
*psychic-------------------a| pertaining to forces or mental processes outside the possibilities defined by natural or scientific laws; "psychic reader"; "psychical research"  
*psychic-------------------s| affecting or influenced by the human mind; "psychic energy"; "psychic trauma"  
*psychic-------------------s| outside the sphere of physical science; "psychic phenomena"  
*psychically---------------r| from a psychic point of view; "he was psychically blind"  
*psychoactive--------------a| affecting the mind or mood or other mental processes; "psychoactive drugs"  
*psychoanalytical----------a| of or relating to or incorporating the methods and theory of psychiatric treatment originated by Sigmund Freud; "Freud's psychoanalytical theories"; "psychoanalytic treatment"  
*psychogenic---------------s| mental or emotional rather than physiological in origin; "a psychogenic disorder"  
*psychokinetic-------------s| moving an object without apparent use of physical means  
*psycholinguistic----------a| of or relating to the psychology of language  
*psychological-------------a| of or relating to or determined by psychology; "psychological theories"  
*psychological-------------s| mental or emotional as opposed to physical in nature; "give psychological support"; "psychological warfare"  
*psychologically-----------r| in terms of psychology; "classify poetry psychologically"  
*psychologically-----------r| with regard to psychology; "war that caught them in its toils either psychologically or physically"; "the event was very damaging to the child psychologically1"  
*psychometric--------------a| of or relating to psychometrics; "psychometric journals"  
*psychomotor---------------a| of or relating to or characterizing mental events that have motor consequences or vice versa  
*psychopathic--------------s| suffering from an undiagnosed mental disorder  
*psychopharmacological-----a| of or relating to psychopharmacology  
*psychosexual--------------a| of or relating to the mental or emotional attitudes about sexuality  
*psychosomatic-------------s| used of illness or symptoms resulting from neurosis  
*psychotherapeutic---------a| of or relating to or practicing psychotherapy; "psychotherapeutic sessions"  
*psychotic-----------------s| suffering from psychosis  
*pteridological------------a| of or relating to the study of ferns  
*Ptolemaic-----------------a| of or relating to the astronomer Ptolemy  
*Ptolemaic-----------------s| of or relating to the geocentric Ptolemaic system; "in the Ptolemaic system of planetary motion the earth is fixed as the center of the universe with the sun and moon and planets revolving around it"  
*pub-crawl-----------------v| go from one pub to the next and get progressively more drunk; "he pub-crawled around Birmingham"  
*pubertal------------------a| of or related to puberty  
*pubescent-----------------s| (of animals especially human beings) having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature; "the budding breasts of a pubescent girl and the downy chin of pubescent boy"  
*pubic---------------------a| relating or near the pubis; "pubic bones"; "pubic hair"  
*public--------------------a| not private; open to or concerning the people as a whole; "the public good"; "public libraries"; "public funds"; "public parks"; "a public scandal"; "public gardens"; "performers and members of royal families are public figures"  
*public--------------------s| affecting the people or community as a whole; "community leaders"; "community interests"; "the public welfare"  
*public-spirited-----------s| showing unselfish interest in the public welfare; "a public-spirited citizen"  
*publicize-----------------v| make public; "She aired her opinions on welfare"  
*publicized----------------a| made known; especially made widely known  
*publicly------------------r| by the public or the people generally; "publicly provided medical care"; "publicly financed schools"  
*publicly------------------r| in a manner accessible to or observable by the public; openly; "she admitted publicly to being a communist"  
*publish-------------------v| have (one's written work) issued for publication; "How many books did Georges Simenon write?"; "She published 25 books during her long career"  
*publish-------------------v| prepare and issue for public distribution or sale; "publish a magazine or newspaper"  
*publishable---------------a| suitable for publication  
*published-----------------a| prepared and printed for distribution and sale; "the complete published works Dickens"  
*pucker--------------------v| become wrinkled or drawn together; "her lips puckered"  
*pucker--------------------v| to gather something into small wrinkles or folds; "She puckered her lips"  
*puckered------------------s| (used of the skin of the face) contracted into wrinkles; "a puckered-up mouth waiting to be kissed"; "her mischievous puckered nose"  
*puddle--------------------v| dip into mud before planting; "puddle young plants"  
*puddle--------------------v| make a puddle by splashing water  
*puddle--------------------v| mess around, as in a liquid or paste; "The children are having fun puddling in paint"  
*puddle--------------------v| subject to puddling or form by puddling; "puddle iron"  
*puddle--------------------v| wade or dabble in a puddle; "The ducks and geese puddled in the backyard"  
*puddle--------------------v| work a wet mixture, such as concrete or mud  
*pudendal------------------a| of or relating to or near the pudendum; "pudendal nerve"  
*puerile-------------------a| of or characteristic of a child; "puerile breathing"  
*puerperal-----------------a| relating to or connected with or occurring at the time of childbirth or shortly following, or to the woman who has just given birth  
*puff----------------------s| gathered for protruding fullness; "puff sleeves"  
*puff----------------------v| blow hard and loudly; "he huffed and puffed as he made his way up the mountain"  
*puff----------------------v| make proud or conceited; "The sudden fame puffed her ego"  
*puff----------------------v| praise extravagantly; "The critics puffed up this Broadway production"  
*puff----------------------v| smoke and exhale strongly; "puff a cigar"; "whiff a pipe"  
*puff----------------------v| speak in a blustering or scornful manner; "A puffing kind of man"  
*puff----------------------v| suck in or take (air); "draw a deep breath"; "draw on a cigarette"  
*puff----------------------v| to swell or cause to enlarge, "Her faced puffed up from the drugs"  
*puff_up-------------------v| make larger or distend; "The estimates were puffed up"  
*pug-nosed-----------------s| having a blunt nose; "a pug-nosed boy with freckles"; "a snub-nosed automatic"  
*pugilistic----------------a| of or relating to pugilism or pugilists; "a pugilistic career"  
*pugnacious----------------s| ready and able to resort to force or violence; "pugnacious spirits...lamented that there was so little prospect of an exhilarating disturbance"- Herman Melville; "they were rough and determined fighting men"  
*pugnaciously--------------r| in a pugnacious manner  
*puissant------------------s| powerful  
*pukka---------------------s| absolutely first class and genuine; "pukka sahib"; "pukka quarters with a swarm of servants"  
*pulchritudinous-----------s| used of persons only; having great physical beauty; "pulchritudinous movie stars"  
*pull----------------------v| apply force so as to cause motion towards the source of the motion; "Pull the rope"; "Pull the handle towards you"; "pull the string gently"; "pull the trigger of the gun"; "pull your kneees towards your chin"  
*pull----------------------v| cause to move along the ground by pulling; "draw a wagon"; "pull a sled"  
*pull----------------------v| cause to move in a certain direction by exerting a force upon, either physically or in an abstract sense; "A declining dollar pulled down the export figures for the last quarter"  
*pull----------------------v| hit in the direction that the player is facing when carrying through the swing; "pull the ball"  
*pull----------------------v| move into a certain direction; "the car pulls to the right"  
*pull----------------------v| operate when rowing a boat; "pull the oars"  
*pull----------------------v| rein in to keep from winning a race; "pull a horse"  
*pull----------------------v| steer into a certain direction; "pull one's horse to a stand"; "Pull the car over"  
*pull----------------------v| strain abnormally; "I pulled a muscle in my leg when I jumped up"; "The athlete pulled a tendon in the competition"  
*pull----------------------v| take away; "pull the old soup cans from the supermarket shelf"  
*pull_back-----------------v| move to a rearward position; pull towards the back; "Pull back your arms!"  
*pull_back-----------------v| pull back the sling of (a bow); "The archers were drawing their bows"  
*pull_in-------------------v| move into (a station) of trains; "The bullet train drew into Tokyo Station"  
*pull_off------------------v| be successful; achieve a goal; "She succeeded in persuading us all"; "I managed to carry the box upstairs"; "She pulled it off, even though we never thought her capable of it"; "The pianist negociated the difficult runs"  
*pull_off------------------v| cause to withdraw; "We pulled this firm off the project because they overcharged"  
*pull_one's_weight---------v| do one's share in a common task; "Bob has never pulled his weight, and we all have to work harder to make up for his laziness"  
*pull_out------------------v| move out or away; "The troops pulled out after the cease-fire"  
*pull_out_all_the_stops----v| use all resources available; "The organizers pulled out all the stops for the centennial meeting"  
*pull_over-----------------v| steer a vehicle to the side of the road; "The car pulled over when the ambulance approached at high speed"  
*pull_the_leg_of-----------v| tell false information to for fun; "Are you pulling my leg?"  
*pull_the_plug-------------v| prevent from happening or continuing; "The government pulled the plug on spending"  
*pull_up_short-------------v| stop abruptly; "The police car pulled up short and then turned around fast"  
*pulled--------------------a| drawn toward the source of the force; "this exercise must be done with the arms pulled back"  
*pullulate-----------------v| become abundant; increase rapidly  
*pullulate-----------------v| breed freely and abundantly  
*pulp----------------------v| reduce to pulp; "pulp fruit"; "pulp wood"  
*pulp----------------------v| remove the pulp from, as from a fruit  
*pulpy---------------------s| like a pulp; not having stiffness  
*pulsate-------------------v| expand and contract rhythmically; beat rhythmically; "The baby's heart was pulsating again after the surgeon massaged it"  
*pulsate-------------------v| move with or as if with a regular alternating motion; "the city pulsated with music and excitement"  
*pulse---------------------v| drive by or as if by pulsation; "A soft breeze pulsed the air"  
*pulse---------------------v| produce or modulate (as electromagnetic waves) in the form of short bursts or pulses or cause an apparatus to produce pulses; "pulse waves"; "a transmitter pulsed by an electronic tube"  
*pulsed--------------------s| produced or transmitted or modulated in short bursts or pulses; "pulsed electromagnetic waves"; "pulsed light"; "pulsed ultrasonic energy"  
*pummel--------------------v| strike, usually with the fist; "The pedestrians pummeled the demonstrators"  
*pump----------------------v| deliver forth; "pump bullets into the dummy"  
*pump----------------------v| draw or pour with a pump  
*pump----------------------v| flow intermittently  
*pump----------------------v| move up and down; "The athlete pumps weights in the gym"  
*pump----------------------v| operate like a pump; move up and down, like a handle or a pedal  
*pump----------------------v| question persistently; "She pumped the witnesses for information"  
*pump----------------------v| raise (gases oor fluids) with a pump  
*pump----------------------v| supply in great quantities; "Pump money into a project"  
*pumped-up(a)--------------s| tense with excitement and enthusiasm as from a rush of adrenaline; "we were really pumped up for the race"; "he was so pumped he couldn't sleep"  
*pun-----------------------v| make a play on words; "Japanese like to pun--their language is well suited to punning"  
*punch---------------------v| deliver a quick blow to; "he punched me in the stomach"  
*punch---------------------v| drive forcibly as if by a punch; "the nail punched through the wall"  
*punch---------------------v| make a hole into or between, as for ease of separation; "perforate the sheets of paper"  
*punch-drunk---------------s| dazed from or as if from repeated blows; "knocked silly by the impact"; "slaphappy with exhaustion"  
*punctiliously-------------r| in a punctilious manner; "he launched into a long history of the birth of communism, giving credit punctiliously to the work of Marx and Engels"  
*punctual------------------a| acting or arriving or performed exactly at the time appointed; "she expected guests to be punctual at meals"; "he is not a particularly punctual person"; "punctual payment"  
*punctually----------------r| at the proper time; "she was duly apprised of the raise"  
*punctuate-----------------v| insert punctuation marks into  
*punctuate-----------------v| interrupt periodically; "Her sharp questions punctuated the speaker's drone"  
*puncturable---------------a| capable of being punctured  
*puncture------------------v| be pierced or punctured; "The tire punctured"  
*puncture------------------v| cause to lose air pressure or collapse by piercing; "puncture an air balloon"  
*puncture------------------v| make by piercing; "puncture a hole"  
*puncture------------------v| pierce with a pointed object; make a hole into; "puncture a tire"  
*punctureless--------------a| being without punctures or incapable of being punctured  
*pungent-------------------a| sharp biting or acrid especially in taste or smell; "tasting the pungent wood sorrel"; "pungent curry"; "a pungent smell of burning sulfur"  
*pungently-----------------r| with a pungent taste or smell; "the soup was pungently flavored"  
*pungently-----------------r| with pungency; in a pungent manner; "he wrote pungently about his contemporaries"  
*punic---------------------s| tending to betray; especially having a treacherous character as attributed to the Carthaginians by the Romans; "Punic faith"; "the perfidious Judas"; "the fiercest and most treacherous of foes"; "treacherous intrigues"  
*punily--------------------r| in a puny manner  
*punish--------------------v| impose a penalty on; inflict punishment on; "The students were penalized for showing up late for class"; "we had to punish the dog for soiling the floor again"  
*punishable----------------s| liable to or deserving punishment; "punishable offenses"  
*punished------------------a| subjected to a penalty (as pain or shame or restraint or loss) for an offense or fault or in order to coerce some behavior (as a confession or obedience)  
*punishing-----------------a| resulting in punishment; "the king imposed a punishing tax"  
*punishingly---------------r| in a punishing manner  
*punitive------------------a| inflicting punishment; "punitive justice"; "punitive damages"  
*punitively----------------r| in a punishing manner  
*punt----------------------v| kick the ball  
*punt----------------------v| propel with a pole; "pole barges on the river"; "We went punting in Cambridge"  
*puny----------------------s| (used especially of persons) of inferior size  
*puny----------------------s| inferior in strength or significance; "a puny physique"; "puny excuses"  
*pupal---------------------s| of the insects in the chrysalis (cocoon) or post larval stage; "the pupal stage"  
*pupate--------------------v| develop into a pupa; "the insect larva pupate"  
*pupillary-----------------a| of or relating to the pupil of the eye  
*puppyish------------------s| characteristic of a puppy  
*Puranic-------------------a| of or relating to the Purana  
*purchasable---------------s| available for purchase; "purchasable goods"; "many houses in the area are for sale"  
*pure----------------------a| free of extraneous elements of any kind; "pure air and water"; "pure gold"; "pure primary colors"; "the violin's pure and lovely song"; "pure tones"  
*pure----------------------a| used of persons or behaviors; having no faults; sinless; "I felt pure and sweet as a new baby"- Sylvia Plath; "pure as the driven snow"  
*pure----------------------s| concerned with theory and data rather than practice; opposed to applied; "pure science"  
*pure----------------------s| free from discordant qualities  
*pure----------------------s| in a state of sexual virginity; "pure and vestal modesty"; "a spinster or virgin lady"; "men have decreed that their women must be pure and virginal"  
*pure----------------------s| not mixed; "pure oxygen"  
*purebred------------------a| bred for many generation from member of a recognized breed or strain  
*puree---------------------v| rub through a strainer or process in an electric blender; "puree the vegetables for the baby"  
*purgatorial---------------a| of or resembling purgatory; "purgatorial fires"  
*purgatorial---------------a| serving to purge or rid of sin; "purgatorial rites"  
*purge---------------------v| clear of a charge  
*purge---------------------v| excrete or evacuate (someone's bowels or body); "The doctor decided that the patient must be purged"  
*purge---------------------v| oust politically; "Deng Xiao Ping was purged several times throughout his lifetime"  
*purge---------------------v| rid of impurities; "purge the water"; "purge your mind"  
*purified------------------s| made pure  
*purify--------------------v| become clean or pure or free of guilt and sin; "The hippies came to the ashram in order to purify"  
*purify--------------------v| make pure or free from sin or guilt; "he left the monastery purified"  
*purify--------------------v| remove impurities from, increase the concentration of, and separate through the process of distillation; "purify the water"  
*purifying-----------------a| freeing from noxious matter; "filtration is a purifying agent"  
*puritanical---------------a| of or relating to Puritans or Puritanism  
*purl----------------------v| edge or border with gold or silver embroidery  
*purl----------------------v| embroider with gold or silver thread  
*purl----------------------v| knit with a purl stitch  
*purl----------------------v| make a murmuring sound; "the water was purling"  
*purl_stitch---------------v| make with purl stitches  
*purloined-----------------s| taken dishonestly; "the purloined letter"  
*purple--------------------s| of a color midway between red and blue  
*purple--------------------v| become purple  
*purple--------------------v| color purple  
*purport-------------------v| have the often specious appearance of being, intending, or claiming; "The letter purports to express people's opinion"  
*purportedly---------------r| believed or reputed to be the case  
*purpose-------------------v| reach a decision; "he resolved never to drink again"  
*purpose-built-------------s| designed and constructed to serve a particular purpose  
*purposeful----------------a| serving as or indicating the existence of a purpose or goal  
*purposeful----------------s| having meaning through having an aim; "led a happy purposeful life"  
*purposefully--------------r| in a purposeful manner; "he caught the motorcycles in the full glare of his headlights, braked and slipped purposefully out of the car"  
*purposeless---------------a| not evidencing any purpose of goal  
*purposelessly-------------r| without a clear purpose; "let's not purposelessly dispense the aid"  
*purposive-----------------s| having or showing or acting with a purpose or design; "purposive behavior"  
*purr----------------------v| indicate pleasure by purring; characteristic of cats  
*purse---------------------v| contract one's lips into a rounded shape  
*purse---------------------v| gather or contract into wrinkles or folds; pucker; "purse ones's lips"  
*purse-proud---------------s| proud or arrogant because of your wealth (especially in the absence of other distinction)  
*pursuant(p)---------------s| (followed by `to') in conformance to or agreement with; "pursuant to our agreement"; "pursuant to the dictates of one's conscience"  
*pursue--------------------v| carry further or advance; "Can you act on this matter soon?"  
*pursue--------------------v| follow in or as if in pursuit; "The police car pursued the suspected attacker"; "Her bad deed followed her and haunted her dreams all her life"  
*pursued-------------------a| followed with enmity as if to harm; "running and leaping like a herd of pursued antelopes"  
*pursuing------------------s| following in order to overtake or capture or as accompaniment to such pursuit; "the fox fled from the pursuing hounds"; "listened for the hounds' pursuing bark"  
*push----------------------v| approach a certain age or speed; "She is pushing fifty"  
*push----------------------v| move strenuously and with effort; "The crowd pushed forward"  
*push----------------------v| move with force, "He pushed the table into a corner"  
*push----------------------v| press against forcefully without being able to move; "she pushed against the wall with all her strength"  
*push----------------------v| press, drive, or impel (someone) to action or completion of an action; "He pushed her to finish her doctorate"  
*push----------------------v| sell or promote the sale of (illegal goods such as drugs); "The guy hanging around the school is pushing drugs"  
*push_aside----------------v| push out of the way  
*push_out------------------v| push to thrust outward  
*push_up-------------------v| push upward  
*pusillanimous-------------s| lacking in courage and manly strength and resolution; contemptibly fearful  
*pusillanimously-----------r| with a lack of courage and determination; "simperingly, the accused begged for mercy"  
*put-----------------------v| adapt; "put these words to music"  
*put-----------------------v| attribute or give; "She put too much emphasis on her the last statement"; "He put all his efforts into this job"; "The teacher put an interesting twist to the interpretation of the story"  
*put-----------------------v| cause (someone) to undergo something; "He put her to the torture"  
*put-----------------------v| cause to be in a certain state; cause to be in a certain relation; "That song put me in awful good humor"  
*put-----------------------v| put into a certain place or abstract location; "Put your things here"; "Set the 
*put-up--------------------s| planned secretly; "it was a put-up job"  
*put_away------------------v| kill gently, as with an injection; "the cat was very ill and we had to put it to sleep"  
*put_away------------------v| turn away from and put aside, perhaps temporarily; "She turned away from her painting"  
*put_in--------------------v| devote (time, effort, etc.) to a task; "He put in three hours every day at the hospital"  
*put_in--------------------v| make an application as for a job or funding; "We put in a grant to the NSF"  
*put_on--------------------v| add to something existing; "She put on a sun room"  
*put_on--------------------v| add to the odometer; "He put on 1,000 miles on this trip"  
*put_on--------------------v| apply to a surface; "She applied paint to the back of the house"; "Put on make-up!"  
*put_on--------------------v| carry out (performances); "They turned in a splendid effort"; "They turned in top jobs for the second straight game"  
*put_on--------------------v| put on the stove or ready for cooking; "put on the tea, please!"  
*put_out-------------------v| be sexually active; "She is supposed to put out"  
*put_out-------------------v| cause to be out on a fielding play  
*put_out-------------------v| put out considerable effort; "He put out the same for seven managers"  
*put_out-------------------v| retire; "he was put out at third base on a long throw from left field"  
*put_out_feelers-----------v| make some preliminary investigations or test the waters  
*put_through---------------v| connect by telephone; "the operator put a call through to Rio"   
*put_to_sleep--------------v| help someone go to bed; "Mother put the baby to sleep"  
*put_up--------------------v| mount or put up; "put up a good fight"; "offer resistance"  
*put_up--------------------v| provide; "The city has to put up half the required amount"  
*putative(a)---------------s| commonly put forth or accepted as true on inconclusive grounds; "the foundling's putative father"; "the reputed (or purported) author of the book"; "the supposed date of birth"  
*putdownable---------------s| (of a book) so poorly written and unentertaining as to be easily put down  
*putrefactive--------------s| causing or promoting bacterial putrefaction  
*putrefied-----------------s| in an advanced state of decomposition and having a foul odor; "horrible like raw and putrid flesh"- Somerset Maugham  
*putrefy-------------------v| become putrid; decay with an offensive smell; "organic matter putrefies"  
*putrescent----------------s| becoming putrid; "a trail lined by putrescent carcasses"  
*putrid--------------------a| of or relating to or attended by putrefaction; "putrid decomposition"  
*putrid--------------------s| morally corrupt or evil; "the putrid atmosphere of the court"  
*putt----------------------v| : hit a putt; "he lost because he putted so poorly"  
*putt----------------------v| strike (a golf ball) lightly, with a putter; "he putted the ball several feet past the hole"  
*putter--------------------v| do random, unplanned work or activities or spend time idly; "The old lady is usually mucking about in her little house"  
*putter--------------------v| move around aimlessly  
*putty---------------------v| apply putty in order to fix or fill; "putty the window sash"  
*puzzle--------------------v| be uncertain about; think about without fully understanding or being able to decide; "We puzzled over her sudden departure"  
*puzzle_over---------------v| try to solve  
*pyemic--------------------a| of or relating to pyemia  
*pyknotic------------------a| of or relating to or exhibiting pyknosis  
*pyloric-------------------a| relating to or near the pylorus  
*pyogenic------------------a| producing pus  
*pyramid-------------------v| arrange or build up as if on the base of a pyramid  
*pyramid-------------------v| enlarge one's holdings on an exchange on a continued rise by using paper profits as margin to buy additional amounts  
*pyramid-------------------v| increase rapidly and progressively step by step on a broad base  
*pyramid-------------------v| use or deal in (as of stock or commercial transaction) in a pyramid deal  
*pyramidal-----------------s| resembling a pyramid  
*pyramidically-------------r| in a pyramidal manner or shape; "the bush was trimmed pyramidically"  
*pyrectic------------------a| having or causing fever  
*pyretic-------------------a| causing fever  
*pyrochemical--------------a| of or relating to or produced by chemical reactions at high temperatures  
*pyroelectric--------------a| relating to or exhibiting pyroelectricity  
*pyrogallic----------------a| of or relating to pyrogallol  
*pyrogenic-----------------a| produced by or producing fever  
*pyrographic---------------a| of or relating to or produced by pyrography  
*pyroligneous--------------a| of a substance produced by the effect of heat on wood, especially by destructive distillation  
*pyrolytic-----------------a| resulting from pyrolysis  
*pyrotechnic---------------a| of or relating to the craft of making fireworks; "pyrotechnic smokes"  
*pyrotechnic---------------s| suggestive of fireworks; "pyrotechnic keyboard virtuosity"; "a pyrotechnic wit"  
*pyrrhic-------------------a| of or relating to a war dance of ancient Greece; "pyrrhic dance movements"  
*pyrrhic-------------------a| of or relating to or containing a metrical foot of two unstressed syllables; "pyrrhic verses"  
*pyrrhic-------------------a| of or relating to or resembling Pyrrhus or his exploits (especially his sustaining staggering losses in order to defeat the Romans); "a Pyrrhic victory"  
*Pythagorean---------------a| of or relating to Pythagoras or his geometry; "Pythagorean philosophy"; "Pythagorean theorem"  
