Tue |Thu |      0|30-04-0520| 1500| 215 |   1505|Yes |LQ   4|   N/A   |-- Exact 1500 Years Ago -- 
Sun |Sun |  20324|22-12-2075|  -56|   0*|    -50|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Sun-22-Dec-2075 08:50:02a --- 13 Full Moons in Year
Sun |Sun |  20856|06-06-2077|  -58|   0*|    -51|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 15:09:02
Sun |Sun |  21003|31-10-2077|  -58|   0*|    -51|No  |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Sun-31-Oct-2077 10:38:43a --- 2nd Full Moon in Month
Wed |Wed |  21062|29-12-2077|  -58|   0*|    -51|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Wed-29-Dec-2077 10:47:39a --- 13 Full Moons in Year
Wed |Wed |  22007|31-07-2080|  -61|   0*|    -54|Yes |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Wed-31-Jul-2080 07:16:05p --- 2nd Full Moon in Month
Thu |Thu |  22155|26-12-2080|  -61|   0*|    -54|Yes |O * 15|   N/A   |--- Real Blue Moon ---- @ Thu-26-Dec-2080 05:05:45p --- 13 Full Moons in Year
Mon |Mon |  23041|31-05-2083|  -64|   0*|    -58|No  |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Mon-31-May-2083 09:44:35a --- 2nd Full Moon in Month
Fri |Fri |  23248|24-12-2083|  -64|   0*|    -58|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Fri-24-Dec-2083 03:54:16a --- 13 Full Moons in Year
Mon |Mon |  23986|31-12-2085|  -66|   0*|    -59|No  |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Mon-31-Dec-2085 12:01:35a --- 2nd Full Moon in Month
Mon |Mon |  23986|31-12-2085|  -66|   0*|    -59|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Mon-31-Dec-2085 12:01:35a --- 13 Full Moons in Year
Thu |Thu |  24990|30-09-2088|  -69|   0*|    -62|Yes |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Thu-30-Sep-2088 03:27:47p --- 2nd Full Moon in Month
Tue |Tue |  25079|28-12-2088|  -69|   0*|    -62|Yes |O * 15|   N/A   |--- Real Blue Moon ---- @ Tue-28-Dec-2088 12:59:57a --- 13 Full Moons in Year
Mon |Mon |  26023|30-07-2091|  -72|   0*|    -66|No  |O * 13|   N/A   |--- Calendar Blue Moon ---- @ Mon-30-Jul-2091 12:03:59p --- 2nd Full Moon in Month
Tue |Tue |  26171|25-12-2091|  -72|   0*|    -66|No  |O * 15|   N/A   |--- Real Blue Moon ---- @ Tue-25-Dec-2091 10:02:22p --- 13 Full Moons in Year
Sun |Sun |  26939|31-01-2094|  -74|   0*|    -67|No  |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Sun-31-Jan-2094 12:39:35p --- 2nd Full Moon in Month
Mon |Mon |  26940|01-02-2094|  -74|   0*|    -67|No  |O   15|   N/A   |--- Black Moon ---- @ Mon-01-Feb-2094 12:00:00a --- No Full Moon in Feb
Fri |Fri |  27028|30-04-2094|  -75|   0*|    -68|No  |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Fri-30-Apr-2094 01:57:08p --- 2nd Full Moon in Month
Tue |Tue |  27263|21-12-2094|  -75|   0*|    -68|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Tue-21-Dec-2094 07:58:50p --- 13 Full Moons in Year
Wed |Wed |  27796|06-06-2096|  -77|   0*|    -69|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 03:01:31
Wed |Wed |  27943|31-10-2096|  -77|   0*|    -69|Yes |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Wed-31-Oct-2096 11:19:05a --- 2nd Full Moon in Month
Sat |Sat |  28002|29-12-2096|  -77|   0*|    -69|Yes |O * 14|   N/A   |--- Real Blue Moon ---- @ Sat-29-Dec-2096 08:26:07a --- 13 Full Moons in Year
Sun |Sun |  28472|13-04-2098|  -79|   0*|    -72|No  |FQ  11|   N/A   |--- Good Friday, On Friday the 13th ---- @ Sun-13-Apr-2098
Sun |Sun |  28976|30-08-2099|  -80|   0*|    -73|No  |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Sun-30-Aug-2099 05:58:55p --- 2nd Full Moon in Month
Sun |Sun |  29095|27-12-2099|  -80|   0*|    -73|No  |O * 15|   N/A   |--- Real Blue Moon ---- @ Sun-27-Dec-2099 01:01:38p --- 13 Full Moons in Year
Fri |Fri |  30010|30-06-2102|  -83|   0*|    -71|No  |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Fri-30-Jun-2102 05:31:51p --- 2nd Full Moon in Month
Sun |Sun |  30187|24-12-2102|  -83|   0*|    -71|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Sun-24-Dec-2102 11:28:11a --- 13 Full Moons in Year
Wed |Wed |  30925|31-12-2104|  -85|   0*|    -78|Yes |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Wed-31-Dec-2104 05:02:01p --- 2nd Full Moon in Month
Wed |Wed |  30925|31-12-2104|  -85|   0*|    -78|Yes |O * 14|   N/A   |--- Real Blue Moon ---- @ Wed-31-Dec-2104 05:02:01p --- 13 Full Moons in Year
Mon |Mon |  31959|31-10-2107|  -88|   0*|    -82|No  |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Mon-31-Oct-2107 08:54:17p --- 2nd Full Moon in Month
Fri |Fri |  32019|30-12-2107|  -88|   0*|    -82|No  |O * 15|   N/A   |--- Real Blue Moon ---- @ Fri-30-Dec-2107 12:22:01a --- 13 Full Moons in Year
Sat |Sat |  32489|13-04-2109|  -90|   0*|    -83|No  |FQ  12|   N/A   |--- Good Friday, On Friday the 13th ---- @ Sat-13-Apr-2109
Thu |Thu |  32963|31-07-2110|  -91|   0*|    -79|No  |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Thu-31-Jul-2110 07:49:35a --- 2nd Full Moon in Month
Fri |Fri |  33111|26-12-2110|  -91|   0*|    -79|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Fri-26-Dec-2110 06:01:35a --- 13 Full Moons in Year
Tue |Tue |  33878|31-01-2113|  -93|   0*|    -86|No  |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Tue-31-Jan-2113 09:02:11p --- 2nd Full Moon in Month
Wed |Wed |  33879|01-02-2113|  -93|   0*|    -86|No  |O   14|   N/A   |--- Black Moon ---- @ Wed-01-Feb-2113 12:00:00a --- No Full Moon in Feb
Tue |Tue |  33997|30-05-2113|  -94|   0*|    -87|No  |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Tue-30-May-2113 04:15:01p --- 2nd Full Moon in Month
Fri |Fri |  34203|22-12-2113|  -94|   0*|    -87|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Fri-22-Dec-2113 03:07:38p --- 13 Full Moons in Year
Tue |Tue |  34942|31-12-2115|  -96|   0*|    -90|No  |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Tue-31-Dec-2115 08:57:07a --- 2nd Full Moon in Month
Tue |Tue |  34942|31-12-2115|  -96|   0*|    -90|No  |O * 15|   N/A   |--- Real Blue Moon ---- @ Tue-31-Dec-2115 08:57:07a --- 13 Full Moons in Year
Wed |Wed |  35916|31-08-2118|  -99|   0*|    -87|No  |O * 13|   N/A   |--- Calendar Blue Moon ---- @ Wed-31-Aug-2118 04:38:56a --- 2nd Full Moon in Month
Wed |Wed |  36035|28-12-2118|  -99|   0*|    -87|No  |O * 15|   N/A   |--- Real Blue Moon ---- @ Wed-28-Dec-2118 01:07:36a --- 13 Full Moons in Year
Mon |Mon |  36950|30-06-2121| -102|   0*|    -95|No  |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Mon-30-Jun-2121 04:35:13p --- 2nd Full Moon in Month
Wed |Wed |  37127|24-12-2121| -102|   0*|    -95|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Wed-24-Dec-2121 01:09:05a --- 13 Full Moons in Year
Mon |Mon |  37895|31-01-2124| -104|   0*|    -98|Yes |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Mon-31-Jan-2124 03:12:54a --- 2nd Full Moon in Month
Thu |Thu |  38220|21-12-2124| -105|   0*|    -98|Yes |O * 15|   N/A   |--- Real Blue Moon ---- @ Thu-21-Dec-2124 07:49:37a --- 13 Full Moons in Year
Thu |Thu |  38899|31-10-2126| -107|   0*|    -95|No  |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Thu-31-Oct-2126 06:44:01a --- 2nd Full Moon in Month
Sun |Sun |  38958|29-12-2126| -107|   0*|    -95|No  |O * 15|   N/A   |--- Real Blue Moon ---- @ Sun-29-Dec-2126 05:55:25p --- 13 Full Moons in Year
Tue |Tue |  39429|13-04-2128| -109|   0*|   -102|Yes |FQ  13|   N/A   |--- Good Friday, On Friday the 13th ---- @ Tue-13-Apr-2128
Sun |Sun |  39903|31-07-2129| -110|   0*|   -103|No  |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Sun-31-Jul-2129 08:15:19a --- 2nd Full Moon in Month
Sun |Sun |  40050|25-12-2129| -110|   0*|   -103|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Sun-25-Dec-2129 02:51:23p --- 13 Full Moons in Year
Mon |Mon |  40877|31-03-2132| -112|   0*|   -105|Yes |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Mon-31-Mar-2132 04:53:34p --- 2nd Full Moon in Month
Mon |Mon |  41143|22-12-2132| -113|   0*|   -106|Yes |O * 14|   N/A   |--- Real Blue Moon ---- @ Mon-22-Dec-2132 03:14:15p --- 13 Full Moons in Year
Sun |Sun |  41674|06-06-2134| -115|   0*|   -103|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 21:21:55
Fri |Fri |  41882|31-12-2134| -115|   0*|   -103|No  |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Fri-31-Dec-2134 06:59:08a --- 2nd Full Moon in Month
Fri |Fri |  41882|31-12-2134| -115|   0*|   -103|No  |O * 15|   N/A   |--- Real Blue Moon ---- @ Fri-31-Dec-2134 06:59:08a --- 13 Full Moons in Year
Fri |Fri |  42855|30-08-2137| -118|   0*|   -111|No  |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Fri-30-Aug-2137 11:19:37p --- 2nd Full Moon in Month
Fri |Fri |  42974|27-12-2137| -118|   0*|   -111|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Fri-27-Dec-2137 08:20:58a --- 13 Full Moons in Year
Tue |Tue |  43860|31-05-2140| -121|   0*|   -114|Yes |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Tue-31-May-2140 07:07:57p --- 2nd Full Moon in Month
Fri |Fri |  44066|23-12-2140| -121|   0*|   -114|Yes |O * 14|   N/A   |--- Real Blue Moon ---- @ Fri-23-Dec-2140 10:24:35p --- 13 Full Moons in Year
Thu |Thu |  44835|31-01-2143| -123|   0*|   -111|No  |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Thu-31-Jan-2143 03:32:59a --- 2nd Full Moon in Month
Fri |Fri |  44836|01-02-2143| -123|   0*|   -111|No  |O   15|   N/A   |--- Black Moon ---- @ Fri-01-Feb-2143 12:00:00a --- No Full Moon in Feb
Sat |Sat |  44893|30-03-2143| -123|   0*|   -117|No  |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Sat-30-Mar-2143 11:05:09p --- 2nd Full Moon in Month
Sun |Sun |  45160|22-12-2143| -124|   0*|   -118|No  |O * 15|   N/A   |--- Real Blue Moon ---- @ Sun-22-Dec-2143 04:18:25a --- 13 Full Moons in Year
Thu |Thu |  45808|30-09-2145| -126|   0*|   -119|No  |O * 13|   N/A   |--- Calendar Blue Moon ---- @ Thu-30-Sep-2145 10:21:27p --- 2nd Full Moon in Month
Wed |Wed |  45898|29-12-2145| -126|   0*|   -119|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Wed-29-Dec-2145 03:42:17a --- 13 Full Moons in Year
Wed |Wed |  46843|31-07-2148| -129|   0*|   -122|Yes |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Wed-31-Jul-2148 07:53:50a --- 2nd Full Moon in Month
Wed |Wed |  46990|25-12-2148| -129|   0*|   -122|Yes |O * 14|   N/A   |--- Real Blue Moon ---- @ Wed-25-Dec-2148 07:10:58a --- 13 Full Moons in Year
Fri |Fri |  47846|30-04-2151| -132|   0*|   -126|No  |O * 13|   N/A   |--- Calendar Blue Moon ---- @ Fri-30-Apr-2151 08:03:09p --- 2nd Full Moon in Month
Thu |Thu |  48083|23-12-2151| -132|   0*|   -126|No  |O * 15|   N/A   |--- Real Blue Moon ---- @ Thu-23-Dec-2151 03:01:04p --- 13 Full Moons in Year
Wed |Wed |  48614|06-06-2153| -134|   0*|   -127|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 16:30:08
Sun |Sun |  48821|30-12-2153| -134|   0*|   -127|No  |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Sun-30-Dec-2153 09:56:43p --- 2nd Full Moon in Month
Sun |Sun |  48821|30-12-2153| -134|   0*|   -127|No  |O * 15|   N/A   |--- Real Blue Moon ---- @ Sun-30-Dec-2153 09:56:43p --- 13 Full Moons in Year
Mon |Mon |  49795|30-08-2156| -137|   0*|   -130|Yes |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Mon-30-Aug-2156 11:22:58p --- 2nd Full Moon in Month
Sun |Sun |  49913|26-12-2156| -137|   0*|   -130|Yes |O * 14|   N/A   |--- Real Blue Moon ---- @ Sun-26-Dec-2156 07:11:40p --- 13 Full Moons in Year
Sat |Sat |  50829|30-06-2159| -140|   0*|   -134|No  |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Sat-30-Jun-2159 05:58:37p --- 2nd Full Moon in Month
Mon |Mon |  51006|24-12-2159| -140|   0*|   -134|No  |O * 15|   N/A   |--- Real Blue Moon ---- @ Mon-24-Dec-2159 11:01:42p --- 13 Full Moons in Year
Sun |Sun |  51775|31-01-2162| -142|   0*|   -135|No  |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Sun-31-Jan-2162 02:24:03a --- 2nd Full Moon in Month
Mon |Mon |  51776|01-02-2162| -142|   0*|   -135|No  |O   16|   N/A   |--- Black Moon ---- @ Mon-01-Feb-2162 12:00:00a --- No Full Moon in Feb
Tue |Tue |  51833|30-03-2162| -143|   0*|   -131|No  |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Tue-30-Mar-2162 11:35:07p --- 2nd Full Moon in Month
Tue |Tue |  52099|21-12-2162| -143|   0*|   -131|No  |O * 15|   N/A   |--- Real Blue Moon ---- @ Tue-21-Dec-2162 05:02:09p --- 13 Full Moons in Year
Sun |Sun |  52748|30-09-2164| -145|   0*|   -138|Yes |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Sun-30-Sep-2164 03:49:00p --- 2nd Full Moon in Month
Fri |Fri |  52837|28-12-2164| -145|   0*|   -138|Yes |O * 14|   N/A   |--- Real Blue Moon ---- @ Fri-28-Dec-2164 11:09:02a --- 13 Full Moons in Year
Sun |Sun |  53308|13-04-2166| -147|   0*|   -135|No  |FQ  12|   N/A   |--- Good Friday, On Friday the 13th ---- @ Sun-13-Apr-2166
Sun |Sun |  53812|30-08-2167| -148|   0*|   -142|No  |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Sun-30-Aug-2167 01:19:53p --- 2nd Full Moon in Month
Sat |Sat |  53930|26-12-2167| -148|   0*|   -142|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Sat-26-Dec-2167 06:02:56a --- 13 Full Moons in Year
Mon |Mon |  54786|30-04-2170| -151|   0*|   -139|No  |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Mon-30-Apr-2170 03:36:26p --- 2nd Full Moon in Month
Sun |Sun |  55023|23-12-2170| -151|   0*|   -139|No  |O * 15|   N/A   |--- Real Blue Moon ---- @ Sun-23-Dec-2170 09:17:25a --- 13 Full Moons in Year
Sat |Sat |  55554|06-06-2172| -153|   0*|   -146|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 16:38:44
Sat |Sat |  55701|31-10-2172| -153|   0*|   -146|Yes |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Sat-31-Oct-2172 05:26:00p --- 2nd Full Moon in Month
Wed |Wed |  55761|30-12-2172| -153|   0*|   -146|Yes |O * 14|   N/A   |--- Real Blue Moon ---- @ Wed-30-Dec-2172 06:02:15a --- 13 Full Moons in Year
Thu |Thu |  56735|31-08-2175| -156|   0*|   -150|No  |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Thu-31-Aug-2175 11:28:30p --- 2nd Full Moon in Month
Wed |Wed |  56853|27-12-2175| -156|   0*|   -150|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Wed-27-Dec-2175 01:58:29p --- 13 Full Moons in Year
Sun |Sun |  57739|31-05-2178| -159|   0*|   -147|No  |O * 13|   N/A   |--- Calendar Blue Moon ---- @ Sun-31-May-2178 12:53:07p --- 2nd Full Moon in Month
Thu |Thu |  57946|24-12-2178| -159|   0*|   -147|No  |O * 15|   N/A   |--- Real Blue Moon ---- @ Thu-24-Dec-2178 09:35:17p --- 13 Full Moons in Year
Tue |Tue |  58714|30-01-2181| -161|   0*|   -154|No  |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Tue-30-Jan-2181 06:50:05p --- 2nd Full Moon in Month
Thu |Thu |  58716|01-02-2181| -161|   0*|   -154|No  |O   16|   N/A   |--- Black Moon ---- @ Thu-01-Feb-2181 12:00:00a --- No Full Moon in Feb
Fri |Fri |  58773|30-03-2181| -162|   0*|   -155|No  |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Fri-30-Mar-2181 10:34:35p --- 2nd Full Moon in Month
Fri |Fri |  59039|21-12-2181| -162|   0*|   -155|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Fri-21-Dec-2181 12:20:48a --- 13 Full Moons in Year
Fri |Fri |  59571|06-06-2183| -164|   0*|   -158|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 05:44:34
Fri |Fri |  59718|31-10-2183| -164|   0*|   -158|No  |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Fri-31-Oct-2183 12:38:58a --- 2nd Full Moon in Month
Mon |Mon |  59777|29-12-2183| -164|   0*|   -158|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Mon-29-Dec-2183 12:29:02a --- 13 Full Moons in Year
Mon |Mon |  60722|31-07-2186| -167|   0*|   -155|No  |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Mon-31-Jul-2186 11:20:36a --- 2nd Full Moon in Month
Tue |Tue |  60870|26-12-2186| -167|   0*|   -155|No  |O * 15|   N/A   |--- Real Blue Moon ---- @ Tue-26-Dec-2186 06:34:11a --- 13 Full Moons in Year
Thu |Thu |  61726|30-04-2189| -170|   0*|   -163|No  |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Thu-30-Apr-2189 03:54:58p --- 2nd Full Moon in Month
Tue |Tue |  61962|22-12-2189| -170|   0*|   -163|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Tue-22-Dec-2189 07:37:23p --- 13 Full Moons in Year
Wed |Wed |  62670|30-11-2191| -172|   0*|   -166|No  |O * 13|   N/A   |--- Calendar Blue Moon ---- @ Wed-30-Nov-2191 10:52:01p --- 2nd Full Moon in Month
Fri |Fri |  62700|30-12-2191| -172|   0*|   -166|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Fri-30-Dec-2191 02:40:14p --- 13 Full Moons in Year
Sun |Sun |  63675|31-08-2194| -175|   0*|   -168|No  |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Sun-31-Aug-2194 06:17:07p --- 2nd Full Moon in Month
Sat |Sat |  63793|27-12-2194| -175|   0*|   -168|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Sat-27-Dec-2194 01:55:09p --- 13 Full Moons in Year
Wed |Wed |  64679|31-05-2197| -178|   0*|   -165|No  |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Wed-31-May-2197 07:21:52a --- 2nd Full Moon in Month
Sun |Sun |  64886|24-12-2197| -178|   0*|   -165|No  |O * 15|   N/A   |--- Real Blue Moon ---- @ Sun-24-Dec-2197 01:18:52p --- 13 Full Moons in Year
Fri |Fri |  65654|31-01-2200| -180|   0*|   -173|No  |O * 14|   N/A   |--- Calendar Blue Moon ---- @ Fri-31-Jan-2200 03:46:12a --- 2nd Full Moon in Month
Sat |Sat |  65655|01-02-2200| -180|   0*|   -173|No  |O   15|   N/A   |--- Black Moon ---- @ Sat-01-Feb-2200 12:00:00a --- No Full Moon in Feb
Mon |Mon |  65713|31-03-2200| -181|   0*|   -174|No  |O * 15|   N/A   |--- Calendar Blue Moon ---- @ Mon-31-Mar-2200 03:05:28p --- 2nd Full Moon in Month
Sun |Sun |  65978|21-12-2200| -181|   0*|   -174|No  |O * 14|   N/A   |--- Real Blue Moon ---- @ Sun-21-Dec-2200 10:38:15a --- 13 Full Moons in Year
Sun |Sun |  66510|06-06-2202| -183|   0*|   -171|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 18:26:12
Fri |Fri |  67187|13-04-2204| -185|   0*|   -178|Yes |FQ  11|   N/A   |--- Good Friday, On Friday the 13th ---- @ Fri-13-Apr-2204
Wed |Wed |  73450|06-06-2221| -202|   0*|   -195|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 01:42:13
Mon |Mon |  87329|06-06-2259| -240|   0*|   -234|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 06:06:13
Thu |Thu |  94269|06-06-2278| -259|   0*|   -247|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 05:50:30
Tue |Tue |  94946|13-04-2280| -261|   0*|   -254|Yes |FQ  12|   N/A   |--- Good Friday, On Friday the 13th ---- @ Tue-13-Apr-2280
Sun |Sun | 101209|06-06-2297| -278|   0*|   -265|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 05:57:12
Sun |Sun | 122027|06-06-2354| -335|   0*|   -323|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 19:26:49
Thu |Thu | 126721|13-04-2367| -348|   0*|   -342|No  |FQ  12|   N/A   |--- Good Friday, On Friday the 13th ---- @ Thu-13-Apr-2367
Wed |Wed | 128967|06-06-2373| -354|   0*|   -347|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 07:14:44
Sun |Sun | 133661|13-04-2386| -367|   0*|   -355|No  |FQ  12|   N/A   |--- Good Friday, On Friday the 13th ---- @ Sun-13-Apr-2386
Sat |Sat | 135907|06-06-2392| -373|   0*|   -366|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 03:02:06
Sun |Sun | 156726|06-06-2449| -430|   0*|   -423|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 20:43:51
Wed |Wed | 163666|06-06-2468| -449|   0*|   -442|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 06:27:28
Fri |Fri | 170605|06-06-2487| -468|   0*|   -462|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 13:57:05
Tue |Tue | 175299|13-04-2500| -481|   0*|   -474|No  |FQ  12|   N/A   |--- Good Friday, On Friday the 13th ---- @ Tue-13-Apr-2500
Sun |Sun | 189178|13-04-2538| -519|   0*|   -507|No  |FQ  12|   N/A   |--- Good Friday, On Friday the 13th ---- @ Sun-13-Apr-2538
Fri |Fri | 195441|06-06-2555| -536|   0*|   -530|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 11:41:48
Wed |Wed | 196118|13-04-2557| -538|   0*|   -531|No  |FQ  12|   N/A   |--- Good Friday, On Friday the 13th ---- @ Wed-13-Apr-2557
Mon |Mon | 209997|13-04-2595| -576|   0*|   -569|No  |FQ  11|   N/A   |--- Good Friday, On Friday the 13th ---- @ Mon-13-Apr-2595
Sun |Sun | 214014|13-04-2606| -587|   0*|   -575|No  |FQ  13|   N/A   |--- Good Friday, On Friday the 13th ---- @ Sun-13-Apr-2606
Mon |Mon | 223199|06-06-2631| -612|   0*|   -606|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 14:08:13
Thu |Thu | 230139|06-06-2650| -631|   0*|   -619|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 14:33:10
Sun |Sun | 237079|06-06-2669| -650|   0*|   -643|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 13:41:24
Wed |Wed | 244019|06-06-2688| -669|   0*|   -662|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 06:31:08
Sun |Sun | 244695|13-04-2690| -671|   0*|   -658|No  |FQ  11|   N/A   |--- Good Friday, On Friday the 13th ---- @ Sun-13-Apr-2690
Sat |Sat | 248712|13-04-2701| -682|   0*|   -675|No  |FQ  12|   N/A   |--- Good Friday, On Friday the 13th ---- @ Sat-13-Apr-2701
Tue |Tue | 255652|13-04-2720| -701|   0*|   -694|Yes |FQ  13|   N/A   |--- Good Friday, On Friday the 13th ---- @ Tue-13-Apr-2720
Sun |Sun | 257897|06-06-2726| -707|   0*|   -695|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 23:24:44
Wed |Wed | 264837|06-06-2745| -726|   0*|   -719|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 13:37:23
Sun |Sun | 269531|13-04-2758| -739|   0*|   -727|No  |FQ  12|   N/A   |--- Good Friday, On Friday the 13th ---- @ Sun-13-Apr-2758
Sat |Sat | 271777|06-06-2764| -745|   0*|   -738|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 11:17:10
Fri |Fri | 275794|06-06-2775| -756|   0*|   -750|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 04:07:08
Wed |Wed | 276471|13-04-2777| -758|   0*|   -751|No  |FQ  12|   N/A   |--- Good Friday, On Friday the 13th ---- @ Wed-13-Apr-2777
Mon |Mon | 290350|13-04-2815| -796|   0*|   -790|No  |FQ  11|   N/A   |--- Good Friday, On Friday the 13th ---- @ Mon-13-Apr-2815
Thu |Thu | 297290|13-04-2834| -815|   0*|   -803|No  |FQ  12|   N/A   |--- Good Friday, On Friday the 13th ---- @ Thu-13-Apr-2834
Wed |Wed | 299536|06-06-2840| -821|   0*|   -814|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 09:46:59
Sun |Sun | 304230|13-04-2853| -834|   0*|   -827|No  |FQ  13|   N/A   |--- Good Friday, On Friday the 13th ---- @ Sun-13-Apr-2853
Fri |Fri | 306475|06-06-2859| -840|   0*|   -834|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 18:23:09
Mon |Mon | 313415|06-06-2878| -859|   0*|   -847|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 10:20:54
Fri |Fri | 318109|13-04-2891| -872|   0*|   -866|No  |FQ  12|   N/A   |--- Good Friday, On Friday the 13th ---- @ Fri-13-Apr-2891
Thu |Thu | 320355|06-06-2897| -878|   0*|   -865|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 09:06:38
Wed |Wed | 324372|06-06-2908| -889|   0*|   -882|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 00:54:22
Sun |Sun | 325048|13-04-2910| -891|   0*|   -879|No  |FQ  11|   N/A   |--- Good Friday, On Friday the 13th ---- @ Sun-13-Apr-2910
Fri |Fri | 331311|06-06-2927| -908|   0*|   -902|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 16:58:26
Wed |Wed | 331988|13-04-2929| -910|   0*|   -903|No  |FQ  11|   N/A   |--- Good Friday, On Friday the 13th ---- @ Wed-13-Apr-2929
Mon |Mon | 338251|06-06-2946| -927|   0*|   -915|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 01:39:18
